seed,n_reference_samples,recent_samples_proportion,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),drifts
1775587607,250,1.0,0.7,0,0,0.09996999899996667,0.09996999899996667,0.6951565052168406,0.9662655421847395,0.04544214800897024,0.04544214800897024,0.691457080775254,0.9467598252476721,[]
1775587612,250,1.0,0.8,0,0,0.09996999899996667,0.09996999899996667,0.6951565052168406,0.9662655421847395,0.04544214800897024,0.04544214800897024,0.691457080775254,0.9467598252476721,[]
1775587616,500,1.0,0.7,0.03169208204376043,0.03307289730170493,0.09996999899996667,0.09996999899996667,0.9239641321377379,0.9598653288442948,0.04544214800897024,0.04544214800897024,0.9126128985637649,0.9446481157619089,"[4006, 4507, 5008, 5509, 6010, 7012, 8014, 8515, 9016, 9517, 10018, 11020, 11521, 12022, 13024, 13525, 15028, 16531, 21541, 22042, 22543, 23044, 24046, 25549, 26551, 29056]"
1775587620,500,1.0,0.8,0,0,0.09996999899996667,0.09996999899996667,0.6951565052168406,0.9662655421847395,0.04544214800897024,0.04544214800897024,0.691457080775254,0.9467598252476721,[]
1775587624,250,1.0,0.7,0,0,0.09996999899996667,0.09996999899996667,0.6951565052168406,0.9662655421847395,0.04544214800897024,0.04544214800897024,0.691457080775254,0.9467598252476721,[]
1775587628,250,1.0,0.8,0,0,0.09996999899996667,0.09996999899996667,0.6951565052168406,0.9662655421847395,0.04544214800897024,0.04544214800897024,0.691457080775254,0.9467598252476721,[]
1775587633,500,1.0,0.7,0.03247708256941898,0.03391313043768125,0.09996999899996667,0.09996999899996667,0.9118970632354412,0.9477982599419981,0.04544214800897024,0.04544214800897024,0.9017839698738318,0.9337847442321092,"[4006, 4507, 5008, 5509, 6010, 6511, 7012, 8014, 8515, 9517, 11020, 12022, 12523, 13024, 13525, 15028, 16531, 21541, 22042, 22543, 23044, 24046, 25549, 26551, 29056]"
1775587637,500,1.0,0.8,0,0,0.09996999899996667,0.09996999899996667,0.6951565052168406,0.9662655421847395,0.04544214800897024,0.04544214800897024,0.691457080775254,0.9467598252476721,[]
1775587642,250,1.0,0.7,0,0,0.09996999899996667,0.09996999899996667,0.6951565052168406,0.9662655421847395,0.04544214800897024,0.04544214800897024,0.691457080775254,0.9467598252476721,[]
1775587646,250,1.0,0.8,0,0,0.09996999899996667,0.09996999899996667,0.6951565052168406,0.9662655421847395,0.04544214800897024,0.04544214800897024,0.691457080775254,0.9467598252476721,[]
1775587651,500,1.0,0.7,0.034333088880740464,0.03582897207684701,0.09996999899996667,0.09996999899996667,0.9239641321377379,0.9598653288442948,0.04544214800897024,0.04544214800897024,0.9126128985637649,0.9446481157619089,"[4006, 4507, 5008, 5509, 6010, 6511, 7012, 7513, 8014, 9517, 10018, 11020, 11521, 12523, 16531, 21541, 22042, 22543, 23044, 24046, 25549, 26551, 28555, 29056]"
1775587654,500,1.0,0.8,0,0,0.09996999899996667,0.09996999899996667,0.6951565052168406,0.9662655421847395,0.04544214800897024,0.04544214800897024,0.691457080775254,0.9467598252476721,[]
1775587658,250,1.0,0.7,0,0,0.09996999899996667,0.09996999899996667,0.6951565052168406,0.9662655421847395,0.04544214800897024,0.04544214800897024,0.691457080775254,0.9467598252476721,[]
1775587662,250,1.0,0.8,0,0,0.09996999899996667,0.09996999899996667,0.6951565052168406,0.9662655421847395,0.04544214800897024,0.04544214800897024,0.691457080775254,0.9467598252476721,[]
1775587666,500,1.0,0.7,0.03683304595001651,0.03846491852758729,0.09996999899996667,0.09996999899996667,0.91029700990033,0.9461982066068869,0.04544214800897024,0.04544214800897024,0.9003613406836376,0.932356680198943,"[4006, 4507, 5008, 5509, 6010, 6511, 7012, 8014, 8515, 9016, 11020, 12022, 12523, 13024, 13525, 16531, 21541, 22042, 22543, 23044, 25549, 26551]"
1775587669,500,1.0,0.8,0,0,0.09996999899996667,0.09996999899996667,0.6951565052168406,0.9662655421847395,0.04544214800897024,0.04544214800897024,0.691457080775254,0.9467598252476721,[]
1775587673,250,1.0,0.7,0,0,0.09996999899996667,0.09996999899996667,0.6951565052168406,0.9662655421847395,0.04544214800897024,0.04544214800897024,0.691457080775254,0.9467598252476721,[]
1775587678,250,1.0,0.8,0,0,0.09996999899996667,0.09996999899996667,0.6951565052168406,0.9662655421847395,0.04544214800897024,0.04544214800897024,0.691457080775254,0.9467598252476721,[]
1775587682,500,1.0,0.7,0.03581858525718973,0.03733167917191442,0.09996999899996667,0.09996999899996667,0.9237974599153305,0.9585986199539984,0.04544214800897024,0.04544214800897024,0.912486412538706,0.9436970858578074,"[4006, 4507, 5008, 5509, 6010, 6511, 7012, 7513, 8014, 9517, 10018, 10519, 11020, 12022, 12523, 16531, 22042, 22543, 23044, 24046, 25549, 26551, 29056]"
1775587686,500,1.0,0.8,0,0,0.09996999899996667,0.09996999899996667,0.6951565052168406,0.9662655421847395,0.04544214800897024,0.04544214800897024,0.691457080775254,0.9467598252476721,[]
