seed,disjoint_training_windows,n_samples,n_windows,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),mtr,mtfa,mtd,mdr,drifts
1661470669,True,50,25,0.0,0.0,0.3058823529411765,0.30024379571169596,0.5756204288304057,0.5849846846283678,0.2824474041486233,0.26444543334786724,0.5549764568155725,0.5585416216053561,,,,1.0,[]
1661470861,True,50,50,0.0,0.0,0.3058823529411765,0.30024379571169596,0.5756204288304057,0.5849846846283678,0.2824474041486233,0.26444543334786724,0.5549764568155725,0.5585416216053561,,,,1.0,[]
1661471066,True,50,100,0.0,0.0,0.3058823529411765,0.30024379571169596,0.5756204288304057,0.5849846846283678,0.2824474041486233,0.26444543334786724,0.5549764568155725,0.5585416216053561,,,,1.0,[]
1661471266,True,100,25,0.0,0.0,0.3058823529411765,0.30024379571169596,0.5756204288304057,0.5849846846283678,0.2824474041486233,0.26444543334786724,0.5549764568155725,0.5585416216053561,,,,1.0,[]
1661471468,True,100,50,0.0,0.0,0.3058823529411765,0.30024379571169596,0.5756204288304057,0.5849846846283678,0.2824474041486233,0.26444543334786724,0.5549764568155725,0.5585416216053561,,,,1.0,[]
1661471670,True,100,100,0.0,0.0,0.3058823529411765,0.30024379571169596,0.5756204288304057,0.5849846846283678,0.2824474041486233,0.26444543334786724,0.5549764568155725,0.5585416216053561,,,,1.0,[]
1661471873,True,250,25,0.07966181158967306,0.0724948427830218,0.3058823529411765,0.30024379571169596,0.6245295992998687,0.5902231668437832,0.2824474041486233,0.26444543334786724,0.596678670636337,0.5674800669521792,4.011729323308271,53356.0,13300.0,0.0,"[26489, 53137, 53395, 79845]"
1661472087,True,250,50,0.0,0.0,0.3058823529411765,0.30024379571169596,0.5756204288304057,0.5849846846283678,0.2824474041486233,0.26444543334786724,0.5549764568155725,0.5585416216053561,,,,1.0,[]
1661472308,True,250,100,0.0,0.0,0.3058823529411765,0.30024379571169596,0.5756204288304057,0.5849846846283678,0.2824474041486233,0.26444543334786724,0.5549764568155725,0.5585416216053561,,,,1.0,[]
1661472515,True,500,25,0.04524776967109904,0.04151135480759784,0.3058823529411765,0.30024379571169596,0.6226167406388697,0.5908232793648809,0.2824474041486233,0.26444543334786724,0.5934154075661074,0.5660325231932181,77.89511494252874,13553.75,174.0,0.0,"[25465, 26264, 26765, 53014, 53515, 78854, 79680]"
1661472736,True,500,50,0.0,0.0,0.3058823529411765,0.30024379571169596,0.5756204288304057,0.5849846846283678,0.2824474041486233,0.26444543334786724,0.5549764568155725,0.5585416216053561,,,,1.0,[]
1661472962,True,500,100,0.0,0.0,0.3058823529411765,0.30024379571169596,0.5756204288304057,0.5849846846283678,0.2824474041486233,0.26444543334786724,0.5549764568155725,0.5585416216053561,,,,1.0,[]
