seed,confidence,feature_proportion,n_clusters,n_samples,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),drifts
1669892128,0.05,0.1,2,100,0.0008493020947129201,0.0008813040859479305,0.17466720451795079,0.1754915200729607,0.4846624690881667,0.4971675114439553,0.16374663491602023,0.16401815595537933,0.48501771504343516,0.4970210501253754,"[362, 481, 781, 898, 998, 1127, 1227, 1571, 1712, 1826, 1926, 2026, 2126, 2239, 2365, 2554, 2654, 2777, 2914, 3103, 3326, 3427, 3527, 3627, 3732, 4161, 4261, 4361, 4586, 4917, 5150, 5570, 5670, 5809, 5917, 6154, 6254, 6373, 6473, 6671, 6934, 7285, 7464, 7931, 8119, 8219, 8319, 8419, 8664, 8857, 9098, 9202, 9454, 9555, 9655, 9798, 9898, 10013, 10122, 10239, 10339, 10439, 10540, 10650, 10753, 10890, 11009, 11282, 11382, 11482, 11592, 11816, 11998, 12211, 12311, 12411, 12643, 12772, 12902, 13017, 13165, 13561, 13715, 13816, 13916, 14050, 14150, 14250, 14350, 14548, 14648, 14748, 14848, 14948, 15048, 15148, 15319, 15419, 15519, 15619, 15781, 15962, 16062, 16162, 16262, 16371, 16539, 16639, 16739, 16856, 16984, 17219, 17492, 17604, 17765, 17871, 18120, 18447, 18712, 18812, 18960, 19160, 19268, 19381, 19719, 19819, 20215, 20315, 20415, 20519, 20619, 20899, 21083, 21209, 21346, 21665, 21770, 22030, 22237, 22376, 22479, 22663, 22805, 22905, 23005, 23177, 23405, 23505, 23611, 23727, 23827, 23937, 24151, 24255, 24360, 24460, 24584, 24771, 24961, 25076, 25182, 25282, 25488, 25593, 25704, 25804, 25904, 26116, 26300, 26647, 26818, 26918, 27173, 27320, 27432, 27532, 27632, 27764, 27864, 27974, 28074, 28563, 28765, 28865, 28983, 29083, 29263, 29430, 29530, 29640, 29872, 29972, 30072, 30172, 30274, 30499, 30727, 30827, 30949, 31115, 31215, 31347, 31451, 31551, 31992, 32651, 32751, 33110, 33554, 33675, 33776, 33876, 33984, 34084, 34184, 34446, 34546, 34646, 34746, 34944, 35085, 35203, 35308, 35521, 35621, 35753, 35853, 35953, 36385, 36581, 36681, 36918, 37140, 37256, 37468, 37681, 37781, 37881, 38243, 38353, 38453, 38567, 38667, 38767, 39137, 39303, 39487, 39628, 39772, 39877, 40129, 40229, 40329, 40429, 40537, 40652, 40752, 40854, 40954, 41065, 41165, 41327, 41427, 41595, 41695, 41836, 41987, 42353, 42466, 42669, 42894, 42994, 43108, 43214, 43412, 43612, 43712, 43812, 43912, 44124, 44235, 44535, 44977, 45173, 45391, 45850, 45974, 46074, 46174, 46277, 46448, 46548, 46680, 46797, 46897, 46997, 47121, 47242, 47522, 47659, 47760, 47860, 47988, 48312, 48414, 48516, 48616, 48716, 48948, 49052, 49152, 49358, 49458, 49656, 49756, 49870, 49970, 50249, 50349, 50449, 50549, 50661, 50787, 50912, 51013, 51130, 51361, 51530, 51630, 51761, 51868, 51995, 52289, 52524, 52655, 52755, 52992, 53127, 53242, 53382, 53501, 53638, 53762, 53926, 54124, 54347, 54482, 54717, 54817, 54917, 55040, 55187, 55287, 55448, 55574, 55701, 55801, 56003, 56103, 56332, 56432, 56532, 56693, 56857, 56983]"
1669892317,0.05,0.1,2,250,0.0024310687145580995,0.0024611349354095257,0.17466720451795079,0.1754915200729607,0.5320343055579915,0.537278355578161,0.16374663491602023,0.16401815595537933,0.5291236867245871,0.5338230958210742,"[499, 810, 1060, 1310, 1560, 1826, 2566, 2816, 3066, 3316, 3985, 5003, 5616, 5866, 6116, 6369, 6619, 7480, 7730, 7992, 8548, 10472, 10722, 10976, 11326, 12077, 12422, 12986, 13507, 14102, 15046, 15296, 15630, 16752, 17366, 17616, 18029, 18279, 18529, 18822, 19072, 19897, 20147, 20511, 20878, 21665, 21958, 22420, 22680, 23110, 23360, 23610, 23877, 24555, 24807, 25072, 25347, 25605, 26382, 26632, 27055, 27305, 27555, 27805, 28055, 29045, 29295, 29547, 29975, 30226, 30476, 31368, 31664, 32105, 32355, 32707, 32957, 33342, 33609, 33890, 34140, 34567, 34817, 35549, 35799, 36049, 36427, 36778, 37028, 37299, 37555, 37805, 38055, 38305, 38555, 38805, 39163, 39413, 39663, 39980, 40231, 40481, 40731, 40981, 41305, 41636, 41886, 42136, 42669, 43066, 43411, 43661, 44118, 44368, 44623, 44950, 45245, 45495, 45751, 46001, 46503, 47609, 47859, 48118, 48389, 49426, 49749, 50012, 50432, 50682, 50932, 51182, 51432, 51921, 52171, 52480, 52730, 53013, 53375, 54429, 54931, 55349, 55599, 55849, 56099, 56349, 56599]"
1669892517,0.05,0.1,2,500,0.004695310170650858,0.004713944963782731,0.17466720451795079,0.1754915200729607,0.5502920181700195,0.5526071171755792,0.16374663491602023,0.16401815595537933,0.5450514748944347,0.5471116506715694,"[1006, 1506, 2009, 2732, 3238, 4415, 6009, 6509, 7009, 8614, 9114, 9614, 10114, 10685, 12282, 12782, 13282, 13782, 14282, 15146, 15646, 16162, 16662, 17511, 18252, 18803, 19303, 20208, 20739, 21239, 21758, 22258, 22758, 24227, 24905, 25529, 26029, 26541, 27588, 28331, 29141, 29643, 30146, 30781, 31618, 32210, 32710, 33519, 34236, 35522, 36022, 36522, 37616, 38116, 38616, 39168, 39668, 40731, 41231, 43205, 43796, 44296, 44837, 45624, 46124, 46624, 47198, 48485, 49816, 50343, 51014, 51514, 52014, 53103, 53679, 54529, 55091, 55591, 56091, 56591]"
1669892719,0.05,0.1,2,1000,0.008533517294062393,0.008524553105993728,0.17466720451795079,0.1754915200729607,0.5586754827507585,0.5590964098426785,0.16374663491602023,0.16401815595537933,0.5521576920070673,0.5523764391302207,"[1999, 2999, 4446, 5904, 6994, 7994, 9296, 10321, 11321, 12321, 13321, 14321, 15321, 16321, 17481, 18518, 20156, 21156, 22156, 25342, 26367, 27367, 28374, 32852, 34393, 35393, 36393, 37393, 38474, 39474, 40474, 41719, 43142, 44435, 45435, 46435, 47435, 48594, 49594, 50594, 51594, 52627, 53627, 55723, 56723]"
1669892918,0.05,0.1,3,100,0.0006519896985863041,0.0006820447090645559,0.17466720451795079,0.1754915200729607,0.46610659978602875,0.4803655050248172,0.16374663491602023,0.16401815595537933,0.4676424986679369,0.4808071907756269,"[199, 368, 542, 642, 742, 875, 1048, 1148, 1248, 1475, 1575, 1691, 1792, 1892, 2065, 2171, 2271, 2402, 2502, 2602, 2703, 2835, 2935, 3083, 3183, 3283, 3406, 3508, 3608, 3795, 3989, 4089, 4189, 4296, 4396, 4496, 4618, 4815, 4915, 5126, 5274, 5413, 5513, 5616, 5716, 5816, 5916, 6097, 6217, 6403, 6503, 6608, 6810, 6958, 7058, 7162, 7272, 7385, 7485, 7932, 8032, 8234, 8334, 8435, 8628, 8827, 8927, 9027, 9127, 9245, 9345, 9445, 9545, 9771, 9887, 9993, 10117, 10217, 10348, 10448, 10552, 10652, 10784, 10887, 11060, 11160, 11286, 11398, 11732, 11832, 11956, 12166, 12293, 12396, 12499, 12629, 12731, 12831, 12931, 13061, 13188, 13314, 13521, 13621, 13742, 13854, 13954, 14055, 14155, 14255, 14355, 14513, 14613, 14786, 14886, 14986, 15087, 15195, 15295, 15395, 15497, 15597, 15697, 15804, 15904, 16090, 16393, 16534, 16636, 16736, 16861, 16965, 17079, 17340, 17460, 17591, 17691, 18020, 18120, 18385, 18547, 18647, 18747, 18853, 18953, 19106, 19239, 19339, 19439, 19539, 19641, 19800, 19900, 20000, 20100, 20272, 20372, 20472, 20583, 20683, 20904, 21018, 21158, 21258, 21416, 21597, 21697, 21797, 22053, 22153, 22272, 22408, 22520, 22622, 22722, 22883, 23053, 23153, 23253, 23359, 23459, 23638, 23738, 23849, 23949, 24049, 24149, 24301, 24680, 24780, 24880, 24984, 25084, 25198, 25298, 25398, 25503, 25603, 25703, 25803, 25904, 26005, 26107, 26221, 26321, 26427, 26527, 26627, 26734, 26873, 26973, 27105, 27249, 27374, 27474, 27574, 27805, 27971, 28071, 28433, 28612, 28712, 28812, 28912, 29025, 29125, 29236, 29347, 29477, 29577, 29722, 29822, 29972, 30072, 30172, 30327, 30427, 30527, 30627, 30727, 30827, 30940, 31040, 31140, 31356, 31456, 31556, 31853, 31984, 32084, 32186, 32286, 32389, 32491, 32596, 32696, 32821, 32921, 33045, 33238, 33338, 33438, 33564, 33734, 33834, 33935, 34035, 34135, 34235, 34335, 34436, 34536, 34660, 34760, 34893, 34993, 35191, 35291, 35394, 35494, 35594, 35694, 35794, 35982, 36141, 36287, 36387, 36487, 36601, 36701, 36801, 37053, 37153, 37253, 37377, 37501, 37669, 37769, 37869, 37969, 38070, 38260, 38443, 38566, 38666, 38766, 39026, 39129, 39333, 39535, 39722, 39955, 40146, 40246, 40346, 40446, 40575, 40675, 40775, 40877, 40977, 41077, 41177, 41277, 41478, 41578, 41678, 41778, 41992, 42117, 42217, 42317, 42417, 42697, 42797, 42897, 42997, 43163, 43263, 43363, 43595, 43695, 43863, 43963, 44074, 44174, 44367, 44645, 44827, 44927, 45027, 45130, 45280, 45579, 45686, 45786, 45886, 45986, 46121, 46221, 46323, 46541, 46641, 46818, 46918, 47018, 47135, 47235, 47483, 47606, 47706, 47833, 47933, 48033, 48133, 48315, 48416, 48516, 48616, 48716, 48821, 48921, 49021, 49145, 49263, 49377, 49477, 49626, 49785, 49885, 49985, 50131, 50231, 50336, 50447, 50547, 50670, 50770, 50870, 50978, 51094, 51194, 51294, 51406, 51506, 51638, 51821, 52031, 52131, 52231, 52373, 52487, 52587, 52687, 52787, 52906, 53006, 53109, 53256, 53444, 53544, 53644, 53745, 53845, 53945, 54045, 54156, 54262, 54365, 54483, 54922, 55028, 55233, 55333, 55433, 55574, 55674, 55848, 55988, 56088, 56356, 56456, 56556, 56656, 56756, 56856, 56956]"
1669893100,0.05,0.1,3,250,0.0018585349125064975,0.0018790588398607507,0.17466720451795079,0.1754915200729607,0.5240717680691723,0.5287545819667818,0.16374663491602023,0.16401815595537933,0.5218329633462944,0.5260604723215844,"[499, 936, 1223, 1476, 1726, 1976, 2241, 2491, 2741, 2991, 3241, 3496, 3746, 4298, 4548, 5086, 5383, 5635, 5885, 6330, 6591, 6988, 7414, 7671, 7921, 8171, 8423, 8685, 9022, 9351, 9601, 9893, 10262, 10512, 10762, 11012, 11308, 11558, 11933, 12189, 12776, 13121, 13371, 13649, 13987, 14258, 14926, 15482, 15855, 16105, 16650, 16909, 17159, 17409, 17659, 18021, 18271, 18521, 18786, 19054, 19428, 19678, 19928, 20230, 20480, 20862, 21257, 21507, 21757, 22087, 22377, 22629, 22901, 23153, 23403, 23653, 23903, 24297, 24557, 24807, 25072, 25387, 25637, 26287, 26537, 26787, 27037, 27287, 27602, 28056, 28378, 28788, 29044, 29294, 29840, 30121, 30375, 30834, 31096, 31406, 31710, 31968, 32450, 32700, 33009, 33309, 33559, 33809, 34059, 34309, 34559, 34819, 35127, 35478, 35745, 35995, 36272, 36522, 36781, 37031, 37281, 37764, 38014, 38264, 38514, 38764, 39052, 39302, 39552, 39965, 40215, 40465, 40721, 40971, 41221, 41471, 41721, 41981, 42255, 42789, 43143, 43399, 43719, 43969, 44219, 44578, 44828, 45078, 45328, 45591, 45890, 46436, 46784, 47034, 47292, 47840, 48090, 48340, 48590, 48840, 49307, 49587, 49839, 50089, 50366, 50616, 50866, 51116, 51385, 51730, 51980, 52259, 52611, 52861, 53111, 53361, 53611, 54347, 54597, 54956, 55206, 55456, 55706, 55974, 56224, 56474, 56724, 56993]"
1669893280,0.05,0.1,3,500,0.0037813641688676444,0.003810177630516928,0.17466720451795079,0.1754915200729607,0.54524089306698,0.5488889278636196,0.16374663491602023,0.16401815595537933,0.5407791835027335,0.5440202042014374,"[1043, 1543, 2043, 2543, 3043, 3560, 4096, 4596, 5474, 6134, 6634, 7224, 7727, 8259, 8759, 9259, 9759, 10311, 10961, 11593, 12093, 12593, 13093, 13593, 14118, 14634, 15215, 15731, 16231, 17053, 17553, 18053, 18553, 19054, 19554, 20547, 21098, 21598, 22275, 22775, 23363, 23961, 24481, 24981, 25560, 26060, 26568, 27068, 27649, 28196, 28710, 29210, 29710, 30210, 30710, 31210, 31720, 32220, 32720, 33436, 33936, 35387, 35887, 36451, 36951, 37491, 37991, 38491, 38991, 39491, 40162, 40678, 41207, 41707, 42207, 42833, 43373, 43873, 44779, 45279, 45881, 47361, 48071, 48571, 49071, 49571, 50071, 50648, 51148, 51648, 52148, 52655, 53155, 53655, 54155, 54655, 55783, 56495]"
1669893456,0.05,0.1,3,1000,0.007852652610231176,0.007864106408650767,0.17466720451795079,0.1754915200729607,0.5594471824192785,0.5608327340968483,0.16374663491602023,0.16401815595537933,0.5531167458060183,0.5541987918319822,"[1999, 3062, 4062, 5316, 6679, 7679, 8679, 9679, 11174, 12174, 13439, 14439, 15619, 16619, 17897, 18897, 19897, 20897, 21897, 24093, 25093, 26093, 27093, 28511, 29519, 30519, 31519, 32738, 34045, 35622, 36622, 37921, 38921, 39921, 40921, 41921, 42955, 44496, 45496, 46496, 47496, 49074, 50261, 51321, 52348, 53348, 54469, 55556, 56556]"
1669893642,0.05,0.01,2,100,0.002907514912706347,0.0029282550372751537,0.17466720451795079,0.1754915200729607,0.5410140835189505,0.5444516547696301,0.16374663491602023,0.16401815595537933,0.5363763591184627,0.5395388943902638,"[1204, 1576, 2551, 3096, 3328, 3515, 3615, 4396, 4793, 4926, 5041, 5366, 5467, 5936, 6142, 6374, 6474, 8412, 8626, 8726, 9596, 10255, 10669, 10858, 11363, 11468, 12236, 12336, 13087, 13203, 13557, 14345, 14445, 15302, 15406, 15990, 17030, 17433, 17558, 17993, 18093, 18499, 18769, 19746, 19855, 20011, 20111, 20441, 20559, 21507, 22276, 22760, 23195, 23981, 24696, 24835, 25185, 25285, 25492, 25927, 26316, 26489, 26980, 27107, 27485, 28624, 28772, 28872, 29565, 30205, 31113, 31310, 31410, 32889, 34218, 34391, 34515, 35720, 36383, 37494, 38033, 38146, 38246, 38396, 38726, 38833, 39198, 39352, 39737, 39837, 40157, 40257, 40357, 40653, 40944, 41065, 41165, 41446, 42779, 42879, 44200, 44300, 44785, 44904, 45092, 46084, 46255, 46376, 49433, 49634, 50293, 50405, 50505, 51620, 51920, 52338, 52459, 52699, 52799, 53599, 53709, 54079, 54265, 54545, 54724, 55271]"
1669893828,0.05,0.01,2,250,0.006324257044994059,0.006329719896596844,0.17466720451795079,0.1754915200729607,0.5604468842625884,0.5616044337653682,0.16374663491602023,0.16401815595537933,0.5536853162012957,0.5546394423646848,"[1323, 1712, 2285, 4743, 6011, 6385, 8541, 9310, 9660, 10728, 10978, 12439, 12754, 13027, 15617, 17398, 17652, 17962, 18553, 19379, 19662, 20169, 21251, 22089, 22393, 22938, 24117, 24753, 25376, 25699, 26349, 26941, 27510, 28400, 29918, 32093, 32343, 32719, 37016, 37347, 38147, 38493, 38793, 39293, 39543, 40193, 40443, 40693, 41276, 41937, 42652, 45420, 45855, 48613, 49909, 50668, 51107, 52370, 54374, 54852, 55530]"
