seed,confidence,feature_proportion,n_clusters,n_samples,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),mtr,mtfa,mtd,mdr,drifts
1669928749,0.05,0.1,2,100,0.0007921605006279376,0.0008201583837485183,0.2430205663561918,0.24570857035694194,0.6731637181971619,0.6910545727323874,0.21390692847409307,0.2146294933452455,0.6719125133459404,0.6893921636208651,7.197741644083107,147.5537037037037,20.5,0.0,"[199, 313, 415, 519, 620, 720, 866, 966, 1088, 1232, 1557, 1666, 1965, 2076, 2237, 2337, 2437, 2629, 2789, 2889, 2989, 3089, 3234, 3365, 3465, 3565, 3676, 3776, 3918, 4028, 4128, 4242, 4485, 4650, 4750, 4850, 4950, 5079, 5386, 5486, 5693, 5894, 5994, 6422, 6522, 6622, 6880, 6982, 7082, 7182, 7295, 7436, 7538, 7638, 7754, 7886, 7986, 8086, 8186, 8286, 8390, 8497, 8597, 9144, 9297, 9577, 9677, 9792, 9892, 10258, 10392, 10532, 10632, 10762, 10924, 11056, 11186, 11572, 11672, 11772, 11872, 11972, 12072, 12177, 12307, 12411, 12521, 12621, 12721, 13112, 13291, 13396, 13496, 13633, 13846, 13947, 14071, 14258, 14358, 14458, 14612, 14733, 14861, 14962, 15157, 15257, 15357, 15457, 15557, 15661, 15761, 15861, 16231, 16619, 16719, 16819, 16919, 17059, 17250, 17351, 17527, 17693, 17886, 17990, 18220, 18320, 18420, 18540, 18673, 18779, 18901, 19042, 19235, 19482, 19585, 19770, 19898, 19998, 20192, 20302, 20402, 20502, 20814, 20947, 21047, 21154, 21254, 21422, 21671, 21904, 22004, 22104, 22204, 22304, 22404, 22513, 22618, 22757, 22857, 22957, 23057, 23157, 23267, 23367, 23480, 23580, 23829, 24009, 24109, 24307, 24521, 24622, 24722, 24822, 24922, 25022, 25174, 25378, 25478, 25578, 25797, 25900, 26299, 26495, 26604, 26704, 26804, 26939, 27144, 27244, 27487, 27602, 27729, 27954, 28054, 28154, 28259, 28360, 28460, 28875, 29094, 29245, 29365, 29555, 29676, 29899, 30008, 30167, 30270, 30370, 30525, 30816, 30916, 31199, 31443, 31546, 31646, 31747, 31981, 32081, 32185, 32342, 32442, 32542, 32652, 32782, 32882, 32982, 33101, 33201, 33351, 33451, 33551, 33732, 33832, 34039, 34139, 34439, 34539, 34709, 34931, 35031, 35180, 35326, 35633, 35773, 35888, 36165, 36389, 36489, 36589, 36736, 36837, 37636, 37736, 37836, 37954, 38136, 38236, 38362, 38558, 38712, 38892, 38992, 39128, 39270, 39545, 39752, 39861, 39961, 40061, 40161, 40261, 40392, 40601, 40701, 40801, 40985, 41130, 41249, 41497, 41819, 41919, 42118, 42325, 42535, 42635, 43109, 43216, 43345, 43525, 43625, 43865, 44017, 44117, 44340, 44524, 44779, 44879, 45018, 45118, 45221, 45321, 45707, 45807, 45914, 46016, 46116, 46264, 46494, 46601, 46701, 46806, 47069, 47267, 47472, 47587, 47707, 47863, 48001, 48101, 48201, 48394, 48494, 48612, 48721, 48862, 48972, 49072, 49172, 49388, 49488, 49709, 49813, 49913, 50352, 50452, 50552, 50655, 50762, 50982, 51082, 51184, 51315, 51479, 51617, 51717, 51850, 51950, 52050, 52150, 52250, 52543, 52643, 52745, 52845, 52947, 53057, 53163, 53269, 53369, 53469, 53570, 53711, 54007, 54128, 54297, 54397, 54497, 54642, 54773, 54884, 55136, 55238, 55386, 55494, 55615, 55752, 55852, 55952, 56052, 56152, 56569, 56676, 57072, 57181, 57333, 57444, 57544, 57644, 57744, 57844, 57970, 58070, 58170, 58482, 58662, 58764, 58990, 59260, 59360, 59460, 59590, 59693, 59793, 60219, 60349, 60486, 60658, 60758, 60858, 61019, 61119, 61219, 61321, 61430, 61540, 61640, 61740, 61840, 61981, 62099, 62253, 62355, 62458, 62558, 62658, 62819, 62935, 63066, 63166, 63340, 63483, 63586, 63686, 63809, 63909, 64009, 64197, 64400, 64509, 64609, 64724, 64824, 64924, 65064, 65309, 65459, 65592, 65695, 65814, 65914, 66043, 66143, 66272, 66505, 66605, 66874, 66974, 67235, 67335, 67435, 67535, 67639, 67791, 67899, 67999, 68120, 68241, 68341, 68457, 68557, 68693, 68793, 68893, 69003, 69148, 69286, 69406, 69506, 69658, 69829, 69965, 70065, 70185, 70337, 70566, 70690, 70867, 70988, 71195, 71384, 71524, 71624, 71760, 71860, 71960, 72175, 72712, 72812, 72971, 73083, 73187, 73312, 73725, 73992, 74120, 74307, 74407, 74507, 74607, 74707, 74807, 75344, 75444, 75654, 75754, 75857, 75974, 76366, 76466, 76566, 76741, 76912, 77024, 77381, 77513, 77674, 77774, 77874, 77981, 78187, 78287, 78519, 78635, 78736, 78839, 79145, 79265, 79365, 79588, 79693, 79878]"
1669928979,0.05,0.1,2,250,0.0019237717241474303,0.0019455448744097148,0.2430205663561918,0.24570857035694194,0.6970306932549853,0.7048571607176346,0.21390692847409307,0.2146294933452455,0.6919203099207687,0.6996141728168795,2.497885519344747,340.9613733905579,136.5,0.0,"[499, 749, 1009, 1259, 1509, 1759, 2025, 2321, 3021, 3277, 3590, 3840, 4117, 4390, 4640, 4892, 5142, 5392, 5642, 5892, 6329, 6579, 6829, 7079, 7329, 7579, 7829, 8079, 8457, 8958, 9236, 9588, 9838, 10088, 10401, 10655, 10915, 11334, 11586, 11930, 12180, 12481, 12763, 13139, 13389, 13662, 14052, 14566, 14858, 15121, 15371, 15668, 16328, 16696, 17023, 17274, 17525, 17817, 18067, 18328, 18578, 19675, 19925, 20222, 20472, 20722, 20972, 21222, 21794, 22044, 22294, 22544, 22795, 23045, 23295, 23545, 23795, 24062, 24320, 24570, 24824, 25130, 25429, 25679, 26187, 26524, 26774, 27024, 27274, 27601, 27853, 28103, 28481, 28731, 29196, 29446, 30276, 30526, 30776, 31055, 31316, 31641, 31891, 32215, 32474, 33033, 33319, 33652, 34199, 34626, 34876, 35126, 35420, 35711, 36192, 36442, 36692, 36951, 37201, 37475, 37725, 38102, 38382, 38632, 38968, 39552, 39987, 40237, 40750, 42582, 43156, 43406, 43728, 44101, 44351, 44674, 44984, 45234, 45484, 45734, 46013, 46595, 46906, 47156, 47406, 47656, 47906, 48156, 48406, 48656, 48993, 49243, 49493, 49842, 50092, 50414, 51254, 51628, 51878, 52181, 52431, 52681, 52931, 53181, 53431, 53681, 53931, 54181, 54431, 54731, 56577, 56857, 57112, 57362, 57891, 58146, 59164, 59414, 60591, 61018, 61268, 62089, 62416, 62935, 63540, 63863, 64116, 64366, 64616, 64893, 65222, 65472, 65722, 65972, 66393, 66643, 66893, 67189, 67887, 68137, 68387, 68637, 68925, 69175, 69425, 69865, 70284, 70968, 71218, 71550, 71800, 72137, 72507, 73792, 74056, 74306, 74556, 74957, 75357, 75607, 75902, 76157, 76407, 76657, 76907, 77268, 77674, 77924, 78174, 78441, 78691, 78941, 79191, 79441, 79693, 79943]"
1669929212,0.05,0.1,2,500,0.0038604460558576952,0.0038715592506928386,0.2430205663561918,0.24570857035694194,0.6946927548915421,0.698681002688004,0.21390692847409307,0.2146294933452455,0.6860936644551572,0.6902320682788394,1.5097508541594686,689.9561403508771,457.0,0.0,"[999, 1499, 3387, 3887, 4387, 4887, 5387, 5887, 7438, 7938, 8438, 8938, 9589, 10089, 10589, 11089, 11617, 13378, 13909, 14409, 14941, 15441, 15941, 16441, 17848, 18348, 18848, 19348, 19848, 20348, 20993, 21493, 21993, 22493, 23075, 23575, 24495, 24995, 25495, 25995, 26495, 26995, 27495, 28169, 28879, 29703, 30576, 31840, 32379, 33596, 34096, 36935, 37444, 37944, 38489, 38990, 39515, 40015, 40515, 41393, 41979, 43077, 43591, 44091, 44591, 45091, 45591, 46149, 46809, 47309, 47848, 48348, 48848, 49348, 49848, 50348, 50851, 51351, 51851, 52351, 52851, 53351, 53851, 54351, 54851, 56958, 57458, 58106, 61130, 61630, 62211, 62711, 64311, 64858, 65389, 66225, 66960, 68343, 68843, 69392, 70128, 70788, 71345, 71872, 72372, 73647, 74491, 74991, 75491, 75991, 76491, 76991, 77507, 78007, 78654, 79154, 79654]"
1669929465,0.05,0.1,2,1000,0.006755054451497535,0.006750318715062105,0.2430205663561918,0.24570857035694194,0.6888541601550291,0.6912296055510408,0.21390692847409307,0.2146294933452455,0.6786466954772156,0.6808894806982844,2.716182048040455,1227.7142857142858,452.0,0.0,"[1999, 3394, 4394, 5394, 6394, 7395, 8395, 9395, 10395, 11395, 12432, 13984, 14984, 15984, 16984, 18614, 19614, 20614, 21614, 22614, 23614, 24614, 25614, 26614, 27614, 28614, 29614, 30650, 32117, 33623, 34623, 35623, 37931, 39763, 40763, 41763, 42763, 44229, 45229, 46229, 48222, 49222, 50222, 51222, 52222, 53222, 54222, 55222, 57264, 58264, 61215, 62215, 63215, 64704, 67470, 68572, 69572, 70572, 71814, 72814, 74345, 75345, 76345, 77345, 78345, 79345]"
1669929706,0.05,0.1,3,100,0.0006702678553176588,0.0006983339391933776,0.2430205663561918,0.24570857035694194,0.6673001187722698,0.68775395386635,0.21390692847409307,0.2146294933452455,0.6667114110004726,0.6870509952117713,3.517636684303351,126.63492063492063,36.0,0.0,"[199, 347, 493, 593, 693, 793, 893, 993, 1093, 1219, 1472, 1661, 1761, 1883, 1983, 2110, 2219, 2339, 2513, 2613, 2771, 2924, 3077, 3177, 3277, 3377, 3531, 3663, 3763, 3874, 4004, 4105, 4229, 4346, 4446, 4747, 4948, 5190, 5310, 5410, 5510, 5610, 5710, 5817, 5920, 6020, 6384, 6500, 6600, 6700, 6800, 6973, 7073, 7173, 7273, 7373, 7506, 7606, 7706, 7806, 7906, 8006, 8106, 8206, 8337, 8437, 8546, 8650, 8809, 8988, 9088, 9188, 9288, 9502, 9602, 9702, 9804, 9904, 10004, 10174, 10455, 10555, 10655, 10755, 11051, 11156, 11578, 11750, 11859, 11959, 12059, 12159, 12331, 12433, 12533, 12693, 12793, 12893, 13011, 13111, 13216, 13316, 13423, 13531, 13631, 13842, 13949, 14049, 14295, 14423, 14565, 14755, 14881, 14985, 15088, 15188, 15290, 15449, 15628, 15728, 15828, 15946, 16054, 16235, 16337, 16437, 16551, 16651, 16789, 16937, 17066, 17166, 17266, 17639, 17739, 17839, 17939, 18042, 18156, 18256, 18360, 18460, 18560, 18660, 18767, 18911, 19136, 19236, 19351, 19451, 19565, 19665, 19765, 19865, 19988, 20127, 20236, 20343, 20493, 20593, 20830, 20930, 21030, 21130, 21230, 21334, 21476, 21576, 21676, 21776, 21961, 22061, 22167, 22269, 22369, 22469, 22570, 22674, 23023, 23123, 23267, 23367, 23482, 23582, 23682, 23784, 23893, 24013, 24113, 24221, 24321, 24421, 24521, 24621, 24721, 24834, 24934, 25039, 25143, 25243, 25361, 25545, 25645, 25756, 25915, 26026, 26235, 26335, 26435, 26535, 26635, 26735, 26835, 26948, 27057, 27157, 27257, 27398, 27498, 27598, 27736, 27861, 27961, 28061, 28161, 28381, 28481, 28581, 28681, 28918, 29080, 29186, 29286, 29386, 29486, 29586, 29686, 29786, 29886, 30005, 30105, 30205, 30305, 30411, 30719, 30819, 31002, 31102, 31211, 31358, 31458, 31558, 31729, 32116, 32224, 32324, 32424, 32529, 32629, 32744, 32856, 32956, 33267, 33367, 33476, 33576, 33676, 33776, 33882, 34054, 34159, 34270, 34370, 34470, 34657, 34857, 34957, 35057, 35157, 35257, 35365, 35467, 35599, 35782, 35882, 35982, 36331, 36442, 36569, 36671, 36771, 36871, 36978, 37078, 37178, 37371, 37471, 37615, 37715, 37836, 37944, 38044, 38144, 38244, 38373, 38498, 38617, 38829, 38929, 39144, 39275, 39410, 39513, 39631, 39732, 39915, 40015, 40135, 40235, 40335, 40452, 40579, 40750, 40850, 40989, 41134, 41268, 41368, 41641, 41777, 41905, 42096, 42196, 42391, 42491, 42628, 42728, 42828, 42928, 43028, 43191, 43300, 43436, 43536, 43636, 43736, 43837, 43948, 44048, 44148, 44397, 44497, 44641, 44784, 44911, 45022, 45153, 45253, 45353, 45470, 45635, 45737, 45837, 45939, 46039, 46193, 46324, 46453, 46553, 46653, 46811, 46911, 47067, 47174, 47315, 47415, 47515, 47615, 47734, 47846, 47990, 48096, 48196, 48381, 48554, 48654, 48918, 49043, 49163, 49274, 49374, 49474, 49574, 49674, 49774, 49874, 50065, 50182, 50294, 50394, 50537, 50637, 50737, 50854, 50954, 51068, 51315, 51415, 51515, 51615, 51716, 51856, 51956, 52056, 52160, 52260, 52360, 52516, 52616, 52720, 52871, 52994, 53169, 53269, 53369, 53469, 53569, 53669, 53769, 53869, 53971, 54164, 54267, 54367, 54467, 54614, 54744, 54863, 54994, 55099, 55199, 55318, 55420, 55520, 55829, 55950, 56050, 56150, 56578, 56678, 56838, 56950, 57050, 57150, 57264, 57384, 57594, 57694, 57794, 57897, 58131, 58348, 58459, 58635, 58735, 58855, 58962, 59075, 59175, 59281, 59392, 59544, 59644, 59744, 59845, 60046, 60182, 60286, 60386, 60486, 60586, 60768, 60868, 60984, 61084, 61190, 61362, 61462, 61562, 61700, 61828, 61929, 62029, 62132, 62232, 62332, 62435, 62535, 62638, 62738, 62838, 62940, 63095, 63324, 63424, 63524, 63655, 63755, 63855, 64054, 64155, 64255, 64355, 64458, 64558, 64658, 64770, 64870, 64972, 65075, 65175, 65275, 65422, 65522, 65622, 65722, 65922, 66069, 66349, 66449, 66579, 66959, 67059, 67182, 67528, 67645, 67759, 67859, 67996, 68096, 68196, 68296, 68468, 68617, 68761, 68861, 68998, 69203, 69303, 69414, 69514, 69668, 69791, 69951, 70051, 70169, 70269, 70369, 70469, 70579, 70767, 70867, 70967, 71109, 71209, 71309, 71409, 71509, 71653, 71826, 72241, 72370, 72576, 72676, 72801, 72901, 73129, 73229, 73329, 73429, 73569, 73669, 73769, 74009, 74109, 74261, 74361, 74461, 74655, 74755, 74919, 75019, 75212, 75312, 75412, 75535, 75635, 75735, 75835, 76027, 76127, 76255, 76355, 76455, 76555, 76685, 76785, 76937, 77038, 77138, 77378, 77539, 77639, 77748, 77848, 77960, 78061, 78171, 78271, 78535, 78635, 78771, 78871, 78971, 79071, 79211, 79339, 79439, 79539, 79639, 79756, 79856, 79979]"
1669929930,0.05,0.1,3,250,0.001644885621936466,0.0016676840142820896,0.2430205663561918,0.24570857035694194,0.6904294555229106,0.6993186222416703,0.21390692847409307,0.2146294933452455,0.6862583915771147,0.6949094374232051,2.060493409935789,294.65055762081784,143.0,0.0,"[499, 749, 999, 1249, 1539, 1789, 2086, 2419, 2779, 3029, 3279, 3576, 3826, 4076, 4326, 4576, 4935, 5185, 5528, 5905, 6155, 6571, 6821, 7080, 7357, 7607, 7857, 8107, 8512, 8762, 9031, 9541, 9791, 10041, 10292, 10542, 10792, 11183, 11436, 11745, 11995, 12337, 12587, 12837, 13287, 13577, 13827, 14077, 14511, 14761, 15118, 15368, 15650, 15912, 16268, 16518, 16768, 17018, 17268, 17518, 17768, 18018, 18284, 18534, 18891, 19141, 19391, 19641, 19891, 20141, 20650, 20900, 21150, 21880, 22130, 22380, 22630, 23048, 23298, 23548, 23798, 24220, 24470, 24720, 24970, 25251, 25501, 25751, 26001, 26251, 26622, 26872, 27132, 27382, 27632, 27984, 28803, 29068, 29318, 29568, 29884, 30193, 30459, 30813, 31063, 31369, 31619, 31870, 32199, 32576, 32826, 33076, 33326, 33576, 33826, 34076, 34326, 34590, 34840, 35111, 35361, 36159, 36412, 36662, 36912, 37162, 37526, 37776, 38026, 38276, 38526, 38776, 39044, 39356, 39695, 39945, 40195, 40445, 40698, 40948, 41198, 41535, 41929, 42179, 42607, 42900, 43150, 43400, 43668, 44562, 44826, 45076, 45326, 45613, 45879, 46163, 46560, 46877, 47442, 47692, 48011, 48261, 48513, 48763, 49013, 49263, 49513, 49768, 50018, 50328, 51050, 51302, 51582, 51846, 52096, 52346, 52596, 52846, 53096, 53346, 53596, 53846, 54096, 54346, 54767, 55053, 55303, 55553, 55962, 56212, 56782, 57032, 57282, 57559, 57824, 58074, 58324, 58590, 58893, 59143, 59393, 59835, 60085, 60335, 60624, 60998, 61248, 61498, 61761, 62507, 62905, 63185, 63435, 63685, 63935, 64338, 64588, 64838, 65134, 65465, 65715, 65965, 66215, 66465, 66728, 66978, 67257, 67509, 67828, 68078, 68328, 68578, 68828, 69078, 69328, 69578, 69839, 70122, 70372, 70665, 70915, 71165, 71546, 71796, 72046, 72424, 72674, 72924, 73189, 73442, 73889, 74147, 74397, 74647, 74901, 75153, 75403, 75653, 76381, 76631, 76881, 77131, 77381, 77644, 77894, 78144, 78394, 78644, 78894, 79260, 79510, 79760]"
1669930146,0.05,0.1,3,500,0.0031782367644637597,0.003198310950908929,0.2430205663561918,0.24570857035694194,0.6943301869100457,0.6998687253860099,0.21390692847409307,0.2146294933452455,0.6867553565250843,0.6924519481446465,1.3701290783353945,565.863309352518,413.0,0.0,"[999, 1499, 1999, 2499, 2999, 3499, 3999, 4499, 4999, 6100, 6657, 7220, 7720, 8220, 9009, 9509, 10636, 11573, 12073, 12699, 13199, 13763, 14267, 14803, 15303, 15803, 16303, 16803, 17316, 17816, 18343, 18843, 19353, 19853, 20353, 20854, 21354, 21854, 22354, 22858, 23358, 23858, 24394, 24894, 25394, 25990, 26490, 26990, 27490, 27993, 28493, 29230, 29730, 30629, 31129, 31629, 32129, 32629, 33200, 33761, 34522, 35022, 35583, 36552, 37052, 37610, 38110, 38610, 39121, 39621, 40121, 40621, 41121, 41910, 42421, 42962, 43462, 43962, 44514, 45014, 45514, 46147, 46647, 47147, 47647, 48147, 48647, 49200, 49700, 50259, 50768, 51268, 51768, 52268, 52768, 53268, 53768, 54268, 54768, 55360, 55860, 56597, 57105, 57605, 58318, 58837, 59337, 59837, 61125, 61625, 62125, 62712, 63381, 63908, 64934, 65434, 65934, 66479, 66979, 67523, 68050, 68550, 69050, 69550, 70468, 70968, 71468, 71968, 72468, 73335, 73835, 74336, 74836, 75353, 75853, 76420, 76920, 77420, 77920, 78654, 79154, 79654]"
1669930358,0.05,0.1,3,1000,0.006365982354085757,0.0063525995631223105,0.2430205663561918,0.24570857035694194,0.6950053134962806,0.696743139338626,0.21390692847409307,0.2146294933452455,0.68537160691232,0.6872312205192795,2.328700382592061,1145.7205882352941,492.0,0.0,"[1999, 3805, 4805, 5807, 6809, 7901, 8901, 10724, 12626, 13626, 14626, 15626, 16626, 17631, 18687, 19687, 20721, 21721, 22721, 23721, 24721, 25721, 26721, 27721, 28721, 29849, 31075, 32664, 33835, 34835, 36368, 37368, 38368, 39368, 40368, 41368, 42368, 44195, 45195, 46195, 47195, 48195, 49195, 50195, 51195, 52195, 53195, 54195, 55195, 56195, 57248, 58248, 59315, 61128, 62128, 63282, 65009, 66023, 67859, 68859, 69859, 70886, 71886, 72886, 73908, 74908, 75908, 76908, 77908, 78908, 79908]"
1669930585,0.05,0.01,2,100,0.0017944864662124147,0.0018178408451584671,0.2430205663561918,0.24570857035694194,0.6916421829092955,0.7001687816465587,0.21390692847409307,0.2146294933452455,0.6860142257313143,0.6945879765937356,6.0676800855549615,321.58704453441294,53.0,0.0,"[264, 367, 1058, 1429, 1761, 1936, 2934, 3038, 3209, 3356, 3456, 3825, 3925, 4237, 5395, 5766, 6260, 6991, 7091, 7266, 7373, 7749, 7911, 8301, 8408, 8508, 8608, 8759, 9490, 9597, 9697, 10037, 10727, 10827, 10928, 11642, 11769, 12001, 12921, 13540, 14355, 14558, 14845, 14985, 15085, 15185, 16213, 16328, 16464, 16572, 16881, 17514, 17753, 17942, 18079, 18481, 19642, 19990, 20127, 20409, 20594, 20845, 20945, 21886, 22043, 22336, 22857, 22957, 23069, 24356, 24547, 24647, 24988, 25302, 26198, 26311, 26551, 26651, 26751, 27190, 27290, 27418, 27689, 27937, 28074, 30226, 30326, 30753, 32057, 32157, 32917, 33237, 33406, 33572, 33765, 34003, 34223, 35344, 35516, 35985, 36684, 36837, 36990, 38166, 38455, 39940, 40107, 40267, 40416, 40803, 40903, 42112, 42294, 42410, 42510, 42801, 43683, 43972, 44325, 44954, 45172, 45287, 45903, 46976, 47384, 48096, 48252, 48352, 48554, 48654, 48905, 49038, 49207, 49323, 50468, 51020, 51120, 51220, 51581, 52027, 52127, 52227, 52365, 52465, 52573, 52673, 52869, 53057, 53157, 53287, 53387, 53487, 53604, 53752, 54052, 54152, 54325, 54467, 54682, 54819, 54941, 55180, 55289, 57077, 57185, 57555, 57745, 58014, 58114, 58513, 58638, 59392, 59809, 60374, 60616, 61135, 61654, 61763, 61863, 62420, 62754, 63979, 64524, 64624, 64972, 65073, 65302, 65402, 65502, 66875, 66984, 67386, 68519, 68664, 68901, 69003, 69168, 69408, 69701, 69812, 70276, 70534, 70634, 70734, 70895, 71024, 71124, 71239, 71510, 71831, 72290, 72496, 72618, 72718, 72818, 72948, 73149, 73301, 73403, 73871, 74127, 74346, 74446, 74644, 75246, 75351, 75457, 75593, 75700, 75825, 76060, 76412, 76512, 76779, 76932, 77102, 77218, 77393, 77663, 77763, 77863, 77963, 78063, 78243, 78374, 78527, 78841, 79351, 79581, 79696]"
1669930810,0.05,0.01,2,250,0.0037275281798264006,0.0037435881016308443,0.2430205663561918,0.24570857035694194,0.7015065324748391,0.7061699068575358,0.21390692847409307,0.2146294933452455,0.6933532774859694,0.6980463811459995,6.370692431561997,659.3666666666667,103.5,0.0,"[499, 1158, 2114, 2451, 3032, 3411, 3962, 4212, 5194, 5584, 7635, 7901, 8567, 10727, 12323, 12997, 15027, 15290, 16430, 16692, 17054, 17304, 18510, 18891, 19141, 20060, 21045, 22472, 23051, 23301, 23551, 23801, 24173, 25144, 25452, 26268, 26606, 26856, 27359, 28172, 28574, 30228, 33619, 33885, 34321, 35047, 35308, 35804, 36479, 36991, 37241, 37665, 37918, 39156, 39641, 40006, 40256, 40516, 40933, 42641, 43805, 44134, 44896, 45146, 45396, 45893, 46660, 47698, 48149, 48399, 48689, 48948, 49204, 49454, 50632, 51091, 51581, 51962, 52212, 52462, 52783, 53033, 53283, 53533, 53783, 54033, 54835, 57172, 57589, 57880, 61092, 61342, 62236, 63435, 63685, 64331, 64900, 65201, 65451, 65725, 65975, 67875, 68125, 68425, 68675, 71250, 71561, 71826, 72335, 72897, 74410, 74660, 74961, 75541, 76500, 76750, 77000, 77291, 77786, 78036, 79115, 79373, 79623]"
