seed,n_reference_samples,recent_samples_proportion,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),drifts
1669975080,50,0.1,0.6,-0.009927404718693283,0.0011978221415607992,0.9752631578947368,0.5563157894736842,0.6873684210526316,0.5910526315789474,0.9752408746819505,0.43338256493707483,0.6841430049122115,0.5766030677420751,"[61, 112, 181, 238, 319, 370, 451, 502, 565, 634, 697, 760, 811, 892, 949, 1006, 1105, 1168, 1225, 1288, 1375, 1438, 1501, 1552, 1639, 1690, 1747, 1810, 1873]"
1669975082,50,0.1,0.7,-0.011973684210526317,0.006151315789473685,0.9752631578947368,0.5563157894736842,0.7836842105263158,0.6547368421052632,0.9752408746819505,0.43338256493707483,0.7830953233418487,0.6397121397121397,"[73, 172, 283, 364, 421, 502, 601, 760, 811, 952, 1171, 1240, 1321, 1462, 1693, 1810]"
1669975085,50,0.1,0.8,-0.014934210526315786,0.02019736842105263,0.9752631578947368,0.5563157894736842,0.8557894736842105,0.7178947368421053,0.9752408746819505,0.43338256493707483,0.8555070520108001,0.7068994893189846,"[103, 154, 283, 490, 973, 1240, 1579, 1696]"
1669975088,50,0.5,0.6,-0.012499999999999997,0.021052631578947364,0.9752631578947368,0.5563157894736842,0.8752631578947369,0.7247368421052631,0.9752408746819505,0.43338256493707483,0.8751507936089848,0.7167524789502653,"[75, 750, 931, 982, 1241, 1448, 1499, 1862]"
1669975090,50,0.5,0.7,-0.023421052631578954,0.03447368421052632,0.9752631578947368,0.5563157894736842,0.9284210526315789,0.6252631578947369,0.9752408746819505,0.43338256493707483,0.9282059489039738,0.5773028371453568,"[283, 1556]"
1669975092,50,0.5,0.8,0,0,0.9752631578947368,0.5563157894736842,0.9752631578947368,0.5563157894736842,0.9752408746819505,0.43338256493707483,0.9752408746819505,0.43338256493707483,[]
1669975093,50,1.0,0.6,-0.019356725146198833,0.011988304093567251,0.9752631578947368,0.5563157894736842,0.8010526315789473,0.6642105263157895,0.9752408746819505,0.43338256493707483,0.8007338056680162,0.6469594594594594,"[355, 610, 865, 1018, 1069, 1375, 1579, 1630, 1783]"
1669975095,50,1.0,0.7,-0.02894736842105261,0.03105263157894733,0.9752631578947368,0.5563157894736842,0.9463157894736842,0.5873684210526315,0.9752408746819505,0.43338256493707483,0.9462251617407287,0.5097522958968742,[1579]
1669975097,50,1.0,0.8,0,0,0.9752631578947368,0.5563157894736842,0.9752631578947368,0.5563157894736842,0.9752408746819505,0.43338256493707483,0.9752408746819505,0.43338256493707483,[]
1669975099,125,0.1,0.6,-0.016526315789473677,0.010789473684210526,0.9752631578947368,0.5563157894736842,0.81,0.6642105263157895,0.9752408746819505,0.43338256493707483,0.809372619415867,0.6479781248112405,"[375, 557, 725, 879, 1117, 1327, 1453, 1579, 1705, 1831]"
1669975101,125,0.1,0.7,-0.022368421052631593,0.05394736842105263,0.9752631578947368,0.5563157894736842,0.9305263157894736,0.6642105263157895,0.9752408746819505,0.43338256493707483,0.9304264073395146,0.6297043010752688,"[823, 1523]"
1669975103,125,0.1,0.8,0,0,0.9752631578947368,0.5563157894736842,0.9752631578947368,0.5563157894736842,0.9752408746819505,0.43338256493707483,0.9752408746819505,0.43338256493707483,[]
1669975106,125,0.5,0.6,-0.019824561403508783,0.05824561403508773,0.9752631578947368,0.5563157894736842,0.9157894736842105,0.7310526315789474,0.9752408746819505,0.43338256493707483,0.9156615408858424,0.7189035821046765,"[379, 889, 1527]"
1669975107,125,0.5,0.7,-0.018421052631578894,0.09842105263157896,0.9752631578947368,0.5563157894736842,0.9568421052631579,0.6547368421052632,0.9752408746819505,0.43338256493707483,0.956799023957409,0.6114766505696305,[891]
1669975109,125,0.5,0.8,0,0,0.9752631578947368,0.5563157894736842,0.9752631578947368,0.5563157894736842,0.9752408746819505,0.43338256493707483,0.9752408746819505,0.43338256493707483,[]
1669975111,125,1.0,0.6,-0.018421052631578932,0.038245614035087715,0.9752631578947368,0.5563157894736842,0.92,0.6710526315789473,0.9752408746819505,0.43338256493707483,0.9199033515233339,0.6420302057173277,"[376, 880, 1006]"
