seed,n_consecutive_deviations,n_permutations,n_samples,update_interval,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),drifts
1669975433,1,10,100,50,-0.01852631578947368,0.021263157894736852,0.9752631578947368,0.5563157894736842,0.8826315789473684,0.6626315789473685,0.9752408746819505,0.43338256493707483,0.8823849783659978,0.631407506406258,"[454, 547, 712, 920, 1129]"
1669975435,1,10,100,100,-0.015999999999999993,0.023894736842105257,0.9752631578947368,0.5563157894736842,0.8952631578947369,0.6757894736842105,0.9752408746819505,0.43338256493707483,0.8950629053615057,0.6501887139832458,"[454, 571, 712, 920, 1151]"
1669975437,1,10,100,250,-0.025000000000000022,0.07078947368421051,0.9752631578947368,0.5563157894736842,0.9252631578947368,0.6978947368421052,0.9752408746819505,0.43338256493707483,0.9251024913276569,0.6789100488848115,"[712, 1658]"
1669975439,1,10,250,50,-0.01728070175438597,0.013947368421052634,0.9752631578947368,0.5563157894736842,0.871578947368421,0.64,0.9752408746819505,0.43338256493707483,0.8712502610542593,0.6060189726905303,"[443, 586, 691, 1065, 1301, 1840]"
1669975441,1,10,250,100,-0.0168421052631579,0.020947368421052624,0.9752631578947368,0.5563157894736842,0.8910526315789473,0.6610526315789473,0.9752408746819505,0.43338256493707483,0.8908542644956665,0.6340628947670636,"[443, 586, 691, 1092, 1840]"
1669975444,1,10,250,250,-0.022280701754385974,0.00842105263157896,0.9752631578947368,0.5563157894736842,0.9084210526315789,0.5815789473684211,0.9752408746819505,0.43338256493707483,0.9081241996300513,0.5011280352172892,"[586, 1548, 1840]"
1669975446,1,10,500,50,-0.021315789473684205,0.02828947368421053,0.9752631578947368,0.5563157894736842,0.89,0.6694736842105263,0.9752408746819505,0.43338256493707483,0.8895218222917753,0.6444559926388207,"[852, 1217, 1440, 1539]"
1669975449,1,10,500,100,-0.02140350877192983,0.042982456140350865,0.9752631578947368,0.5563157894736842,0.9110526315789473,0.6852631578947368,0.9752408746819505,0.43338256493707483,0.9108005752543407,0.6636148641847235,"[852, 987, 1539]"
1669975451,1,10,500,250,-0.026578947368421035,0.06842105263157894,0.9752631578947368,0.5563157894736842,0.9221052631578948,0.6931578947368421,0.9752408746819505,0.43338256493707483,0.9218801221025914,0.6712001683626112,"[852, 1539]"
1669975454,1,10,1000,50,0,0,0.9752631578947368,0.5563157894736842,0.9752631578947368,0.5563157894736842,0.9752408746819505,0.43338256493707483,0.9752408746819505,0.43338256493707483,[]
1669975456,1,10,1000,100,-0.02631578947368418,0.0031578947368421373,0.9752631578947368,0.5563157894736842,0.9489473684210527,0.5594736842105263,0.9752408746819505,0.43338256493707483,0.9488875484465891,0.4571196927672285,[1392]
1669975459,1,10,1000,250,-0.023684210526315752,0.00736842105263158,0.9752631578947368,0.5563157894736842,0.9515789473684211,0.5636842105263158,0.9752408746819505,0.43338256493707483,0.9515093142063284,0.45158957550157214,[1352]
1669975461,1,20,100,50,-0.01852631578947368,0.021263157894736852,0.9752631578947368,0.5563157894736842,0.8826315789473684,0.6626315789473685,0.9752408746819505,0.43338256493707483,0.8823849783659978,0.631407506406258,"[454, 547, 712, 920, 1129]"
1669975464,1,20,100,100,-0.015999999999999993,0.023894736842105257,0.9752631578947368,0.5563157894736842,0.8952631578947369,0.6757894736842105,0.9752408746819505,0.43338256493707483,0.8950629053615057,0.6501887139832458,"[454, 571, 712, 920, 1151]"
1669975466,1,20,100,250,-0.025000000000000022,0.07078947368421051,0.9752631578947368,0.5563157894736842,0.9252631578947368,0.6978947368421052,0.9752408746819505,0.43338256493707483,0.9251024913276569,0.6789100488848115,"[712, 1658]"
1669975468,1,20,250,50,-0.01728070175438597,0.013947368421052634,0.9752631578947368,0.5563157894736842,0.871578947368421,0.64,0.9752408746819505,0.43338256493707483,0.8712502610542593,0.6060189726905303,"[443, 586, 691, 1065, 1301, 1840]"
1669975470,1,20,250,100,-0.0168421052631579,0.020947368421052624,0.9752631578947368,0.5563157894736842,0.8910526315789473,0.6610526315789473,0.9752408746819505,0.43338256493707483,0.8908542644956665,0.6340628947670636,"[443, 586, 691, 1092, 1840]"
1669975473,1,20,250,250,-0.022280701754385974,0.00842105263157896,0.9752631578947368,0.5563157894736842,0.9084210526315789,0.5815789473684211,0.9752408746819505,0.43338256493707483,0.9081241996300513,0.5011280352172892,"[586, 1548, 1840]"
1669975475,1,20,500,50,-0.021315789473684205,0.02828947368421053,0.9752631578947368,0.5563157894736842,0.89,0.6694736842105263,0.9752408746819505,0.43338256493707483,0.8895218222917753,0.6444559926388207,"[852, 1217, 1440, 1539]"
1669975478,1,20,500,100,-0.02140350877192983,0.042982456140350865,0.9752631578947368,0.5563157894736842,0.9110526315789473,0.6852631578947368,0.9752408746819505,0.43338256493707483,0.9108005752543407,0.6636148641847235,"[852, 987, 1539]"
1669975480,1,20,500,250,-0.026578947368421035,0.06842105263157894,0.9752631578947368,0.5563157894736842,0.9221052631578948,0.6931578947368421,0.9752408746819505,0.43338256493707483,0.9218801221025914,0.6712001683626112,"[852, 1539]"
1669975483,1,20,1000,50,0,0,0.9752631578947368,0.5563157894736842,0.9752631578947368,0.5563157894736842,0.9752408746819505,0.43338256493707483,0.9752408746819505,0.43338256493707483,[]
