seed,n_consecutive_deviations,n_permutations,n_samples,update_interval,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),drifts
1673370913,1,10,100,50,-4.037612604529269e-05,0.002489861106126404,0.9368337939202527,0.7062771417291749,0.9332806948282669,0.9253849190682985,0.48369343660823483,0.5358090812894225,0.6069893731781771,0.6289990723756251,"[155, 175, 187, 201, 217, 273, 281, 298, 305, 336, 366, 392, 401, 430, 473, 530, 545, 550, 563, 580, 601, 652, 657, 675, 680, 724, 740, 781, 793, 890, 904, 918, 939, 959, 1014, 1019, 1029, 1059, 1069, 1098, 1112, 1207, 1268, 1300, 1307, 1319, 1343, 1400, 1411, 1467, 1478, 1482, 1581, 1594, 1607, 1652, 1671, 1685, 1696, 1747, 1750, 1760, 1788, 1810, 1838, 1914, 1922, 1977, 1988, 2013, 2028, 2043, 2101, 2106, 2133, 2165, 2193, 2218, 2244, 2339, 2356, 2366, 2389, 2458, 2461, 2493, 2504, 2517]"
1673370917,1,10,100,100,-5.527043031977819e-05,0.004445321752862219,0.9368337939202527,0.7062771417291749,0.9340702724042638,0.9285432293722858,0.48369343660823483,0.5358090812894225,0.5714994798361813,0.6118402059019002,"[100, 102, 146, 176, 191, 211, 314, 341, 381, 394, 434, 540, 548, 562, 581, 682, 724, 768, 829, 929, 959, 1060, 1070, 1100, 1194, 1300, 1314, 1344, 1468, 1482, 1584, 1594, 1607, 1641, 1685, 1788, 1825, 1921, 2014, 2037, 2143, 2183, 2218, 2252, 2356, 2366, 2390, 2493, 2504, 2517]"
1673370922,1,10,100,250,-6.233507178922768e-05,0.00991127641448667,0.9368337939202527,0.7062771417291749,0.9356494275562574,0.8945913936044216,0.48369343660823483,0.5358090812894225,0.556580480601423,0.6018198356790236,"[100, 102, 146, 176, 191, 211, 393, 474, 574, 595, 783, 940, 1121, 1314, 1343, 1473, 2026, 2053, 2246]"
1673370926,1,10,250,50,-3.1270399049380085e-05,0.0021693839340507282,0.9368337939202527,0.7062771417291749,0.9336754836162653,0.9253849190682985,0.48369343660823483,0.5358090812894225,0.5937915234822451,0.6154763042634896,"[250, 305, 326, 341, 352, 366, 399, 456, 482, 487, 500, 516, 535, 543, 564, 603, 658, 665, 671, 690, 702, 713, 733, 753, 817, 824, 832, 850, 874, 882, 899, 924, 958, 979, 1032, 1040, 1051, 1067, 1078, 1095, 1132, 1190, 1198, 1207, 1212, 1220, 1240, 1263, 1281, 1297, 1354, 1418, 1441, 1449, 1457, 1478, 1514, 1566, 1581, 1597, 1623, 1631, 1642, 1744, 1757, 1771, 1790, 1810, 1828, 1845, 1869, 1920, 1933, 1950, 1970, 1976, 1995, 2024, 2047, 2073, 2125, 2136, 2154, 2173, 2192, 2206, 2219, 2270, 2281, 2307, 2315, 2327, 2342, 2368, 2386, 2415, 2469, 2489, 2506, 2517, 2530]"
1673370930,1,10,250,100,-6.806703241353087e-06,0.0037845270021917596,0.9368337939202527,0.7062771417291749,0.9364390051322542,0.9257797078562969,0.48369343660823483,0.5358090812894225,0.5575680252735821,0.6243642169298147,"[250, 351, 368, 414, 515, 536, 544, 571, 677, 686, 697, 712, 740, 841, 869, 882, 911, 933, 1035, 1041, 1052, 1068, 1080, 1108, 1209, 1218, 1230, 1250, 1281, 1392, 1409, 1432, 1449, 1466, 1511, 1622, 1642, 1744, 1757, 1770, 1789, 1817, 1846, 1947, 1960, 1977, 2006, 2071, 2176, 2204, 2313, 2316, 2339, 2363, 2387, 2489, 2511, 2518]"
1673370935,1,10,250,250,0.00011279679657097816,0.012576842817663978,0.9368337939202527,0.7062771417291749,0.9384129490722464,0.8823529411764706,0.48369343660823483,0.5358090812894225,0.5507026879519716,0.6080673836197407,"[250, 252, 338, 366, 571, 749, 933, 1087, 1119, 1273, 1509, 1632, 2227, 2386]"
1673370940,1,10,500,50,-1.409959957137293e-05,0.00240163179365706,0.9368337939202527,0.7062771417291749,0.9356494275562574,0.9080142123963679,0.48369343660823483,0.5358090812894225,0.5379542496606382,0.5935631376518915,"[500, 564, 575, 586, 598, 626, 706, 726, 734, 750, 766, 787, 794, 815, 854, 907, 915, 935, 953, 971, 994, 1019, 1074, 1091, 1098, 1123, 1135, 1159, 1169, 1211, 1266, 1285, 1300, 1310, 1318, 1349, 1373, 1424, 1450, 1459, 1469, 1480, 1512, 1531, 1553, 1632, 1643, 1653, 1670, 1692, 1707, 1727, 1780, 1792, 1809, 1812, 1832, 1847, 1872, 1891, 1984, 1993, 2003, 2013, 2033, 2058, 2070, 2157, 2160, 2180, 2200, 2210, 2228, 2249, 2268, 2290, 2353, 2364, 2378, 2402, 2415, 2448, 2477, 2530]"
1673370945,1,10,500,100,-2.819919914274586e-05,0.004859661985599609,0.9368337939202527,0.7062771417291749,0.9356494275562574,0.9103829451243585,0.48369343660823483,0.5358090812894225,0.5427620613852944,0.6180560675898562,"[500, 586, 619, 725, 734, 750, 774, 794, 824, 926, 945, 961, 994, 1095, 1123, 1136, 1165, 1212, 1313, 1328, 1373, 1474, 1492, 1521, 1577, 1682, 1707, 1809, 1812, 1832, 1848, 1876, 1923, 2024, 2052, 2119, 2226, 2250, 2290, 2395, 2414, 2468]"
1673370950,1,10,500,250,-0.0002631925253322824,0.01789709172259507,0.9368337939202527,0.7062771417291749,0.935254638768259,0.8136596920647453,0.48369343660823483,0.5358090812894225,0.5119735716769579,0.5899168841289572,"[500, 580, 616, 1369, 1892, 2462]"
1673370955,1,10,1000,50,-2.5635635584312497e-05,0.001891909906122303,0.9368337939202527,0.7062771417291749,0.9348598499802606,0.8519542045005922,0.48369343660823483,0.5358090812894225,0.4891478524885318,0.6181813796721154,"[1000, 1054, 1070, 1077, 1090, 1110, 1134, 1160, 1213, 1222, 1232, 1241, 1257, 1266, 1285, 1301, 1316, 1338, 1389, 1401, 1407, 1415, 1427, 1445, 1453, 1469, 1489, 1519, 1574, 1582, 1595, 1607, 1625, 1639, 1658, 1669, 1708, 1759, 1768, 1784, 1800, 1811, 1821, 1845, 1870, 1923, 1946, 1956, 1960, 1970, 1981, 2010, 2031, 2061, 2118, 2128, 2133, 2149, 2165, 2184, 2195, 2211, 2235, 2291, 2298, 2309, 2318, 2335, 2345, 2364, 2382, 2402, 2490, 2495, 2505, 2520, 2532]"
